date,Demand,tipo,conf_lower,conf_upper
2002-01-01,8309.1,real,,
2002-02-01,8685.93,real,,
2002-03-01,8761.94,real,,
2002-04-01,8838.67,real,,
2002-05-01,9170.87,real,,
2002-06-01,9234.03,real,,
2002-07-01,9238.61,real,,
2002-08-01,9412.23,real,,
2002-09-01,8774.1,real,,
2002-10-01,8922.61,real,,
2002-11-01,8918.47,real,,
2002-12-01,8969.45,real,,
2003-01-01,8494.65,real,,
2003-02-01,8612.75,real,,
2003-03-01,8716.29,real,,
2003-04-01,8908.87,real,,
2003-05-01,9139.71,real,,
2003-06-01,9260.17,real,,
2003-07-01,9287.94,real,,
2003-08-01,9513.16,real,,
2003-09-01,9021.83,real,,
2003-10-01,9215.87,real,,
2003-11-01,9040.53,real,,
2003-12-01,9090.97,real,,
2004-01-01,8793.06,real,,
2004-02-01,8925.97,real,,
2004-03-01,9140.48,real,,
2004-04-01,9207.4,real,,
2004-05-01,9276.71,real,,
2004-06-01,9418.3,real,,
2004-07-01,9455.13,real,,
2004-08-01,9430.39,real,,
2004-09-01,9113.33,real,,
2004-10-01,9212.52,real,,
2004-11-01,9151.7,real,,
2004-12-01,9287.19,real,,
2005-01-01,8913.06,real,,
2005-02-01,8948.46,real,,
2005-03-01,9109.39,real,,
2005-04-01,9208.73,real,,
2005-05-01,9377.74,real,,
2005-06-01,9467.97,real,,
2005-07-01,9629.74,real,,
2005-08-01,9643.35,real,,
2005-09-01,9008.87,real,,
2005-10-01,9145.71,real,,
2005-11-01,9209.6,real,,
2005-12-01,9372.42,real,,
2006-01-01,8917.32,real,,
2006-02-01,8990.11,real,,
2006-03-01,9163.23,real,,
2006-04-01,9228.07,real,,
2006-05-01,9401.97,real,,
2006-06-01,9564.23,real,,
2006-07-01,9692.87,real,,
2006-08-01,9664.32,real,,
2006-09-01,9315.37,real,,
2006-10-01,9368.65,real,,
2006-11-01,9329.43,real,,
2006-12-01,9407.19,real,,
2007-01-01,8963.26,real,,
2007-02-01,9084.36,real,,
2007-03-01,9277.84,real,,
2007-04-01,9284.77,real,,
2007-05-01,9520.26,real,,
2007-06-01,9577.83,real,,
2007-07-01,9718.81,real,,
2007-08-01,9672.03,real,,
2007-09-01,9328.67,real,,
2007-10-01,9337.61,real,,
2007-11-01,9312.6,real,,
2007-12-01,9314.94,real,,
2008-01-01,8871.97,real,,
2008-02-01,8925.79,real,,
2008-03-01,9146.35,real,,
2008-04-01,9168.33,real,,
2008-05-01,9324.23,real,,
2008-06-01,9178.33,real,,
2008-07-01,9214.48,real,,
2008-08-01,9206.48,real,,
2008-09-01,8558.7,real,,
2008-10-01,9096.48,real,,
2008-11-01,8972.47,real,,
2008-12-01,8983.48,real,,
2009-01-01,8683.03,real,,
2009-02-01,8889.89,real,,
2009-03-01,8978.84,real,,
2009-04-01,9082.13,real,,
2009-05-01,9148.71,real,,
2009-06-01,9244.73,real,,
2009-07-01,9326.26,real,,
2009-08-01,9363.19,real,,
2009-09-01,8973.27,real,,
2009-10-01,9055.03,real,,
2009-11-01,8967.2,real,,
2009-12-01,8987.39,real,,
2010-01-01,8565.97,real,,
2010-02-01,8628.0,real,,
2010-03-01,8859.84,real,,
2010-04-01,9157.37,real,,
2010-05-01,9223.52,real,,
2010-06-01,9370.63,real,,
2010-07-01,9360.68,real,,
2010-08-01,9314.06,real,,
2010-09-01,9170.43,real,,
2010-10-01,9081.61,real,,
2010-11-01,8871.17,real,,
2010-12-01,8957.45,real,,
2011-01-01,8420.61,real,,
2011-02-01,8655.57,real,,
2011-03-01,8868.29,real,,
2011-04-01,8838.17,real,,
2011-05-01,8879.03,real,,
2011-06-01,9124.9,real,,
2011-07-01,9089.16,real,,
2011-08-01,8987.42,real,,
2011-09-01,8793.57,real,,
2011-10-01,8714.48,real,,
2011-11-01,8592.33,real,,
2011-12-01,8728.0,real,,
2012-01-01,8238.71,real,,
2012-02-01,8643.38,real,,
2012-03-01,8643.84,real,,
2012-04-01,8783.73,real,,
2012-05-01,9036.16,real,,
2012-06-01,9046.33,real,,
2012-07-01,8866.65,real,,
2012-08-01,9207.52,real,,
2012-09-01,8609.47,real,,
2012-10-01,8760.97,real,,
2012-11-01,8532.63,real,,
2012-12-01,8429.42,real,,
2013-01-01,8370.81,real,,
2013-02-01,8432.25,real,,
2013-03-01,8690.32,real,,
2013-04-01,8889.7,real,,
2013-05-01,9080.39,real,,
2013-06-01,9122.7,real,,
2013-07-01,9191.29,real,,
2013-08-01,9170.16,real,,
2013-09-01,8984.3,real,,
2013-10-01,8992.03,real,,
2013-11-01,8969.33,real,,
2013-12-01,8701.94,real,,
2014-01-01,8312.1,real,,
2014-02-01,8682.5,real,,
2014-03-01,8747.23,real,,
2014-04-01,8990.43,real,,
2014-05-01,9068.45,real,,
2014-06-01,9080.97,real,,
2014-07-01,9295.52,real,,
2014-08-01,9357.35,real,,
2014-09-01,8860.77,real,,
2014-10-01,9196.45,real,,
2014-11-01,8964.03,real,,
2014-12-01,8978.58,real,,
2015-01-01,8676.55,real,,
2015-02-01,8866.32,real,,
2015-03-01,9102.87,real,,
2015-04-01,9227.7,real,,
2015-05-01,9308.61,real,,
2015-06-01,9460.27,real,,
2015-07-01,9517.61,real,,
2015-08-01,9503.87,real,,
2015-09-01,9327.63,real,,
2015-10-01,9296.06,real,,
2015-11-01,9153.5,real,,
2015-12-01,9182.81,real,,
2016-01-01,8687.03,real,,
2016-02-01,9258.31,real,,
2016-03-01,9417.55,real,,
2016-04-01,9211.87,real,,
2016-05-01,9457.45,real,,
2016-06-01,9647.47,real,,
2016-07-01,9616.1,real,,
2016-08-01,9730.48,real,,
2016-09-01,9518.87,real,,
2016-10-01,9136.32,real,,
2016-11-01,9273.6,real,,
2016-12-01,9315.94,real,,
2017-01-01,8542.71,real,,
2017-02-01,9043.36,real,,
2017-03-01,9363.35,real,,
2017-04-01,9333.53,real,,
2017-05-01,9590.58,real,,
2017-06-01,9818.47,real,,
2017-07-01,9640.06,real,,
2017-08-01,9797.48,real,,
2017-09-01,9420.0,real,,
2017-10-01,9397.13,real,,
2017-11-01,9151.4,real,,
2017-12-01,9289.55,real,,
2018-01-01,8822.0,real,,
2018-02-01,8828.18,real,,
2018-03-01,9503.58,real,,
2018-04-01,9243.97,real,,
2018-05-01,9554.13,real,,
2018-06-01,9838.67,real,,
2018-07-01,9686.39,real,,
2018-08-01,9822.48,real,,
2018-09-01,9191.77,real,,
2018-10-01,9338.58,real,,
2018-11-01,9326.53,real,,
2018-12-01,9219.71,real,,
2019-01-01,8808.87,real,,
2019-02-01,9102.0,real,,
2019-03-01,9219.48,real,,
2019-04-01,9445.33,real,,
2019-05-01,9535.97,real,,
2019-06-01,9742.43,real,,
2019-07-01,9575.61,real,,
2019-08-01,9871.68,real,,
2019-09-01,9237.93,real,,
2019-10-01,9345.03,real,,
2019-11-01,9244.43,real,,
2019-12-01,9003.13,real,,
2020-01-01,8765.61,real,,
2020-02-01,9088.21,real,,
2020-03-01,7831.03,real,,
2020-04-01,5895.83,real,,
2020-05-01,7243.68,real,,
2020-06-01,8334.47,real,,
2020-07-01,8503.35,real,,
2020-08-01,8568.94,real,,
2020-09-01,8581.73,real,,
2020-10-01,8366.58,real,,
2020-11-01,8045.9,real,,
2020-12-01,7891.58,real,,
2021-01-01,7761.77,real,,
2021-02-01,7856.46,real,,
2021-03-01,8598.9,real,,
2021-04-01,8876.33,real,,
2021-05-01,9120.39,real,,
2021-06-01,9406.73,real,,
2021-07-01,9335.03,real,,
2021-08-01,9227.71,real,,
2021-09-01,8972.37,real,,
2021-10-01,9073.39,real,,
2021-11-01,9058.73,real,,
2021-12-01,8911.84,real,,
2022-01-01,8097.48,real,,
2022-02-01,8691.82,real,,
2022-03-01,9057.13,real,,
2022-04-01,8832.1,real,,
2022-05-01,9158.9,real,,
2022-06-01,9121.03,real,,
2022-07-01,8848.81,real,,
2022-08-01,9164.87,real,,
2022-09-01,8884.0,real,,
2022-10-01,8854.1,real,,
2022-11-01,8870.53,real,,
2022-12-01,8631.52,real,,
2023-01-01,8311.52,real,,
2023-02-01,8747.79,real,,
2023-03-01,9042.26,real,,
2023-04-01,9028.23,real,,
2023-05-01,9141.35,real,,
2023-06-01,9315.77,real,,
2023-07-01,9050.42,real,,
2023-08-01,9336.65,real,,
2023-09-01,8862.1,real,,
2023-10-01,9133.1,real,,
2023-11-01,8877.33,real,,
2023-12-01,8871.06,real,,
2024-01-01,8266.9,real,,
2024-02-01,8637.97,real,,
2024-03-01,8918.97,real,,
2024-04-01,8866.97,real,,
2024-05-01,9429.48,real,,
2024-06-01,9159.5,real,,
2024-07-01,9335.42,real,,
2024-08-01,9294.71,real,,
2024-09-01,9030.57,real,,
2024-10-01,9104.19,real,,
2024-11-01,8843.47,real,,
2024-12-01,8824.32,real,,
2025-01-01,8514.65,real,,
2025-02-01,8718.25,real,,
2025-03-01,8798.06,real,,
2025-04-01,9771.73,real,,
2025-05-01,9269.27,previsto,9004.21,9534.34
2025-06-01,9462.61,previsto,9193.78,9731.44
2025-07-01,9309.62,previsto,9023.92,9595.31
2025-08-01,9430.51,previsto,9132.58,9728.43
2025-09-01,9071.72,previsto,8761.25,9382.19
2025-10-01,9185.99,previsto,8863.65,9508.34
2025-11-01,8995.8,previsto,8661.96,9329.64
2025-12-01,8953.64,previsto,8608.7,9298.58
2026-01-01,8470.08,previsto,8114.38,8825.78
2026-02-01,8784.71,previsto,8418.57,9150.85
2026-03-01,9131.54,previsto,8755.25,9507.83
2026-04-01,9353.72,previsto,8967.54,9739.9
